Packsize Number,"ID",Name,length,width,height,Volume,Cost,Max Weight
150,17.0011.0008.00,170011000800(B),17.00,11.00,8.00,5.7083,$14.81,30.00
151,17.0012.5006.00,170012500600(D),17.00,12.50,6.00,5.4097,$12.66,30.00
152,17.0011.0011.00,170011001100(D),17.00,11.00,11.00,6.8750,$20.29,30.00
153,17.0011.5004.50,170011500450(G),17.00,11.50,4.50,4.4965,$8.79,30.00
154,17.0010.0010.00,170010001000(B),17.00,10.00,10.00,6.1111,$16.80,30.00
155,17.0012.0012.00,170012001200(F),17.00,12.00,12.00,7.6667,$24.11,30.00
156,17.0012.5006.50,170012500650(D),17.00,12.50,6.50,5.6146,$13.69,30.00
157,17.0013.5009.00,170013500900(F),17.00,13.50,9.00,7.0000,$20.38,30.00
158,17.0011.5009.00,170011500900(B),17.00,11.50,9.00,6.2778,$17.38,30.00
159,17.0010.0007.50,170010000750(B),17.00,10.00,7.50,5.1736,$12.64,30.00
160,17.0013.0010.50,170013001050(E),17.00,13.00,10.50,7.4444,$22.87,30.00
161,17.0012.0004.50,170012000450(G),17.00,12.00,4.50,4.6458,$9.17,30.00
162,17.0013.0010.00,170013001000(E),17.00,13.00,10.00,7.2361,$21.79,30.00
163,17.0011.5005.50,170011500550(G),17.00,11.50,5.50,4.8924,$10.70,30.00
164,17.0012.5007.50,170012500750(D),17.00,12.50,7.50,6.0243,$15.77,30.00
165,18.0009.0009.00,180009000900(D),18.00,9.00,9.00,5.6250,$14.43,30.00
166,18.0010.0004.00,180010000400(C),18.00,10.00,4.00,4.0556,$7.22,30.00
167,18.0010.0005.00,180010000500(C),18.00,10.00,5.00,4.4444,$8.98,30.00
168,18.0010.0006.50,180010000650(C),18.00,10.00,6.50,5.0278,$11.62,30.00
169,18.0010.0007.50,180010000750(H),18.00,10.00,7.50,5.4167,$13.38,30.00
170,18.0010.5009.50,180010500950(D),18.00,10.50,9.50,6.3854,$17.74,30.00
171,18.0011.0004.00,180011000400(G),18.00,11.00,4.00,4.3611,$7.93,30.00
172,18.0011.0008.00,180011000800(H),18.00,11.00,8.00,5.9722,$15.67,30.00
173,18.0013.5011.50,180013501150(F),18.00,13.50,11.50,8.4063,$27.50,30.00
174,18.0011.5004.50,180011500450(G),18.00,11.50,4.50,4.7188,$9.30,30.00
175,18.0012.0005.50,180012000550(G),18.00,12.00,5.50,5.2917,$11.81,30.00
176,18.0011.5004.00,180011500400(G),18.00,11.50,4.00,4.5139,$8.29,30.00
177,18.0009.0004.50,180009000450(C),18.00,9.00,4.50,3.9375,$7.30,30.00
178,18.0014.0006.00,180014000600(L),18.00,14.00,6.00,6.1667,$14.99,30.00
179,18.0011.0004.50,180011000450(G),18.00,11.00,4.50,4.5625,$8.90,30.00
180,18.0014.0005.00,180014000500(K),18.00,14.00,5.00,5.7222,$12.53,30.00
181,18.0013.5007.00,180013500700(L),18.00,13.50,7.00,6.4375,$16.83,30.00
182,18.0012.5009.50,180012500950(D),18.00,12.50,9.50,7.1493,$21.08,30.00
183,18.0011.5011.50,180011501150(J),18.00,11.50,11.50,7.5868,$23.46,30.00
184,18.0012.5005.50,180012500550(K),18.00,12.50,5.50,5.4549,$12.30,30.00
185,18.0012.5009.00,180012500900(D),18.00,12.50,9.00,6.9375,$19.99,30.00
186,18.0013.0007.50,180013000750(E),18.00,13.00,7.50,6.4792,$17.35,30.00
187,18.0012.5012.50,180012501250(F),18.00,12.50,12.50,8.4201,$27.67,30.00
188,18.0011.5008.00,180011500800(H),18.00,11.50,8.00,6.1528,$16.38,30.00
189,18.0014.0011.50,180014001150(F),18.00,14.00,11.50,8.6111,$28.51,30.00
190,18.0011.5009.00,180011500900(D),18.00,11.50,9.00,6.5625,$18.40,30.00
191,18.0013.5013.50,180013501350(F),18.00,13.50,13.50,9.2813,$32.24,30.00
192,18.0014.0010.00,180014001000(F),18.00,14.00,10.00,7.9444,$24.82,30.00
193,18.0014.0009.00,180014000900(F),18.00,14.00,9.00,7.5000,$22.37,30.00
194,18.0012.0010.00,180012001000(D),18.00,12.00,10.00,7.1667,$21.30,30.00
195,18.0012.5010.00,180012501000(D),18.00,12.50,10.00,7.3611,$22.18,30.00
196,18.0011.5010.00,180011501000(D),18.00,11.50,10.00,6.9722,$20.42,30.00
197,18.0012.0008.50,180012000850(D),18.00,12.00,8.50,6.5417,$18.14,30.00
198,18.0012.5008.50,180012500850(D),18.00,12.50,8.50,6.7257,$18.89,30.00
199,18.0012.5011.00,180012501100(D),18.00,12.50,11.00,7.7847,$24.38,30.00
200,18.0011.0009.00,180011000900(D),18.00,11.00,9.00,6.3750,$17.61,30.00
202,19.0014.5008.50,190014500850(F),19.00,14.50,8.50,7.7813,$23.10,30.00
203,19.0014.5011.50,190014501150(F),19.00,14.50,11.50,9.1771,$31.15,30.00
204,19.0014.5012.00,190014501200(F),19.00,14.50,12.00,9.4097,$32.50,30.00
205,19.0014.5014.50,190014501450(T),19.00,14.50,14.50,10.5729,$39.21,30.00
206,19.0015.0004.00,190015000400(K),19.00,15.00,4.00,5.8472,$11.39,30.00
207,19.0015.0005.00,190015000500(K),19.00,15.00,5.00,6.3194,$14.17,30.00
208,19.0015.0007.50,190015000750(F),19.00,15.00,7.50,7.5000,$21.11,30.00
209,19.0011.5009.50,190011500950(E),19.00,11.50,9.50,7.0590,$20.48,30.00
210,19.0012.5006.50,190012500650(E),19.00,12.50,6.50,6.1424,$15.30,30.00
