Packsize Number,ID,Name,Length,Width,Height,Max Weight,Volume,Cost
193,18.0014.0009.00,180014000900(F),18,9,14,30,2268,22.36584
194,18.0012.0010.00,180012001000(D),18,10,12,30,2160,21.3024666666667
195,18.0012.5010.00,180012501000(D),18,10,12.5,30,2250,22.1827777777778
196,18.0011.5010.00,180011501000(D),18,10,11.5,30,2070,20.4221555555556
197,18.0012.0008.50,180012000850(D),18,8.5,12,30,1836,18.1385966666667
198,18.0012.5008.50,180012500850(D),18,8.5,12.5,30,1912.5,18.8881736111111
199,18.0012.5011.00,180012501100(D),18,11,12.5,30,2475,24.3791805555556
200,18.0011.0009.00,180011000900(D),18,9,11,30,1782,17.60691
202,19.0014.5008.50,190014500850(F),19,8.5,14.5,30,2341.75,23.09574
203,19.0014.5011.50,190014501150(F),19,11.5,14.5,30,3168.25,31.1526433333333
204,19.0014.5012.00,190014501200(F),19,12,14.5,30,3306,32.4954605555556
205,19.0014.5014.50,190014501450(T),19,14.5,14.5,30,3994.75,39.2095466666667
206,19.0015.0004.00,190015000400(K),19,4,15,30,1140,11.3875055555556
207,19.0015.0005.00,190015000500(K),19,5,15,30,1425,14.1651111111111
208,19.0015.0007.50,190015000750(F),19,7.5,15,30,2137.5,21.109125
209,19.0011.5009.50,190011500950(E),19,9.5,11.5,30,2075.75,20.4836044444444
210,19.0012.5006.50,190012500650(E),19,6.5,12.5,30,1543.75,15.2962777777778
211,19.0015.0011.50,190015001150(F),19,11.5,15,30,3277.5,32.2195472222222
212,19.0013.5011.00,190013501100(F),19,11,13.5,30,2821.5,27.7679894444444
213,19.0011.5004.00,190011500400(G),19,4,11.5,30,874,8.74766166666667
214,19.0015.0004.50,190015000450(K),19,4.5,15,30,1282.5,12.7763083333333
215,19.0012.5008.50,190012500850(E),19,8.5,12.5,30,2018.75,19.9317777777778
216,19.0012.5004.00,190012500400(K),19,4,12.5,30,950,9.50190277777778
217,19.0012.5004.50,190012500450(K),19,4.5,12.5,30,1068.75,10.6607777777778
218,19.0009.5005.00,190009500500(G),19,5,9.5,30,902.5,9.00510277777778
219,19.0012.5012.50,190012501250(F),19,12.5,12.5,30,2968.75,29.2027777777778
220,19.0011.0009.00,190011000900(E),19,9,11,30,1881,18.5797244444444
221,19.0012.5010.00,190012501000(E),19,10,12.5,30,2375,23.4084027777778
222,19.0009.5007.50,190009500750(H),19,7.5,9.5,30,1353.75,13.4199111111111
223,19.0014.0011.50,190014001150(F),19,11.5,14,30,3059,30.0857394444444
224,19.0012.0008.00,190012000800(H),19,8,12,30,1824,18.0278977777778
225,19.0010.0004.00,190010000400(G),19,4,10,30,760,7.6163
226,19.0013.0010.00,190013001000(E),19,10,13,30,2470,24.33735
227,19.0014.5004.00,190014500400(K),19,4,14.5,30,1102,11.010385
228,19.0014.5004.50,190014500450(K),19,4.5,14.5,30,1239.75,12.3532022222222
229,19.0011.5010.00,190011501000(E),19,10,11.5,30,2185,21.5505083333333
230,19.0010.5008.00,190010500800(H),19,8,10.5,30,1596,15.7928827777778
231,19.0013.0004.00,190013000400(K),19,4,13,30,988,9.87902333333333
232,19.0013.0011.00,190013001100(J),19,11,13,30,2717,26.7470711111111
233,19.0010.0005.00,190010000500(G),19,5,10,30,950,9.47419444444444
234,19.0011.5008.50,190011500850(E),19,8.5,11.5,30,1857.25,18.3497966666667
235,19.0011.0008.00,190011000800(H),19,8,11,30,1672,16.5378877777778
236,19.0011.5004.50,190011500450(G),19,4.5,11.5,30,983.25,9.81456555555556
237,19.0011.5006.00,190011500600(G),19,6,11.5,30,1311,13.0152772222222
238,19.0010.0005.50,190010000550(G),19,5.5,10,30,1045,10.4031416666667
239,19.0013.0010.50,190013001050(E),19,10.5,13,30,2593.5,25.5422105555556
240,19.0007.0004.00,190007000400(G),19,4,7,30,532,5.35357666666667
241,19.0012.0008.50,190012000850(E),19,8.5,12,30,1938,19.1407872222222
242,19.0015.0010.50,190015001050(F),19,10.5,15,30,2992.5,29.4419416666667
243,20.0009.5004.00,200009500400(G),20,4,9.5,30,760,7.61824444444444
244,20.0010.0005.00,200010000500(G),20,5,10,30,1000,9.97027777777778
245,20.0010.0005.50,200010000550(G),20,5.5,10,30,1100,10.9478611111111
